release_version,profile_id,dataset_id,dataset_kind,samples,decode_count,truth_count,scored_truth_count,wall_seconds,cpu_user_seconds,cpu_system_seconds,cpu_seconds,avg_wall_seconds,avg_cpu_user_seconds,avg_cpu_system_seconds,avg_cpu_seconds,tp,fp,fn,precision,recall,f1
2.0.0,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,11.23166266840417,11.035166000000002,0.18994000000000003,11.225106,1.0210602425821973,1.0031969090909092,0.01726727272727273,1.0204641818181819,0,0,0,,,
2.0.0,deepest,kgoba-ft8-lib,scored,31,396,429,418,37.614027809817344,36.937213,0.651809,37.589022,1.2133557358005596,1.1915229999999999,0.021026096774193547,1.2125490967741936,362,0,56,1.0,0.8660287081339713,0.9282051282051282
2.0.0,medium,d9394-ft8-test-wave,unscored,11,29,0,0,9.05362681101542,8.846803,0.20196599999999995,9.048769,0.8230569828195836,0.8042548181818181,0.01836054545454545,0.8226153636363637,0,0,0,,,
2.0.0,medium,kgoba-ft8-lib,scored,31,356,429,418,30.33314521063585,29.744965999999994,0.573812,30.318778000000002,0.9784885551818016,0.9595150322580643,0.01851006451612903,0.9780250967741936,326,0,92,1.0,0.7799043062200957,0.8763440860215054
2.0.0,quick,d9394-ft8-test-wave,unscored,11,28,0,0,4.69977793795988,4.5514790000000005,0.14388099999999998,4.69536,0.42725253981453454,0.4137708181818182,0.013080090909090908,0.4268509090909091,0,0,0,,,
2.0.0,quick,kgoba-ft8-lib,scored,31,296,429,418,13.204315523966216,12.774986000000002,0.40792800000000007,13.182914,0.4259456620634263,0.4120963225806452,0.013158967741935486,0.42525529032258064,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.0.1,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,11.451479249983095,11.249428,0.19603699999999996,11.445464999999999,1.0410435681802814,1.0226752727272728,0.01782154545454545,1.0404968181818182,0,0,0,,,
2.0.1,deepest,kgoba-ft8-lib,scored,31,396,429,418,39.30363071325701,38.69185399999999,0.5938319999999999,39.285686000000005,1.2678590552663551,1.2481243225806449,0.019155870967741934,1.2672801935483873,362,0,56,1.0,0.8660287081339713,0.9282051282051282
2.0.1,medium,d9394-ft8-test-wave,unscored,11,29,0,0,7.986444805166684,7.7968389999999985,0.18490800000000002,7.9817469999999995,0.726040436833335,0.7088035454545453,0.016809818181818183,0.7256133636363636,0,0,0,,,
2.0.1,medium,kgoba-ft8-lib,scored,31,356,429,418,29.435639469185844,28.874774,0.5459480000000001,29.420722000000005,0.9495367570705111,0.9314443225806451,0.017611225806451615,0.9490555483870969,326,0,92,1.0,0.7799043062200957,0.8763440860215054
2.0.1,quick,d9394-ft8-test-wave,unscored,11,28,0,0,4.8898982730461285,4.749414,0.135913,4.885326999999998,0.44453620664055715,0.4317649090909091,0.012355727272727273,0.44412063636363625,0,0,0,,,
2.0.1,quick,kgoba-ft8-lib,scored,31,296,429,418,13.554487108252943,13.083345,0.458,13.541345,0.43724151962106267,0.4220433870967742,0.014774193548387098,0.4368175806451613,267,0,151,1.0,0.638755980861244,0.7795620437956204
2.1.0,deepest,d9394-ft8-test-wave,unscored,11,36,0,0,11.165124655002728,10.95636,0.20093599999999998,11.157296,1.0150113322729752,0.9960327272727273,0.018266909090909087,1.0142996363636365,0,0,0,,,
2.1.0,deepest,kgoba-ft8-lib,scored,31,392,429,418,40.66563649615273,39.988173999999994,0.6608859999999999,40.64906000000001,1.3117947256823461,1.2899410967741933,0.021318903225806447,1.3112600000000003,358,0,60,1.0,0.8564593301435407,0.9226804123711341
2.1.0,medium,d9394-ft8-test-wave,unscored,11,29,0,0,8.256676597171463,7.978292999999999,0.27286099999999996,8.251154,0.750606963379224,0.7252993636363635,0.02480554545454545,0.7501049090909091,0,0,0,,,
2.1.0,medium,kgoba-ft8-lib,scored,31,355,429,418,29.045404361211695,28.461022000000003,0.568829,29.029851,0.9369485277810224,0.9180974838709679,0.01834932258064516,0.9364468064516129,325,0,93,1.0,0.777511961722488,0.8748317631224765
